county_fips,county_name,cdc_year,cdc_population,rate_range,rate_midpoint,acs_year,acs_total_pop,acs_female_pop,female_share
18159,"Tipton County, Indiana",2013,15588,18.1-20,19.05,2023,15329,7607,0.49624893991780283
18161,"Union County, Indiana",2013,7284,20.1-22,21.05,2023,7028,3553,0.5055492316448492
18163,"Vanderburgh County, Indiana",2013,181521,20.1-22,21.05,2023,179908,92059,0.5117004246614937
18165,"Vermillion County, Indiana",2013,15858,14.1-16,15.05,2023,15452,7668,0.49624644059021483
18167,"Vigo County, Indiana",2013,108324,14.1-16,15.05,2023,106201,52585,0.4951459967420269
18169,"Wabash County, Indiana",2013,32351,18.1-20,19.05,2023,30901,15739,0.5093362674347108
18171,"Warren County, Indiana",2013,8377,12.1-14,13.05,2023,8469,4250,0.5018302042744126
18173,"Warrick County, Indiana",2013,61089,6.1-8,7.05,2023,64650,32886,0.508677494199536
18175,"Washington County, Indiana",2013,27814,14.1-16,15.05,2023,28167,14166,0.5029289594205986
18177,"Wayne County, Indiana",2013,67839,18.1-20,19.05,2023,66377,33981,0.5119393765912892
18179,"Wells County, Indiana",2013,27733,10.1-12,11.05,2023,28261,14265,0.5047592088036517
18181,"White County, Indiana",2013,24339,12.1-14,13.05,2023,24709,12249,0.49573030070014973
18183,"Whitley County, Indiana",2013,33242,8.1-10,9.05,2023,34388,17168,0.4992439222984762
18001,"Adams County, Indiana",2012,34429,8.1-10,9.05,2023,35995,17987,0.49970829281844703
18003,"Allen County, Indiana",2012,360859,10.1-12,11.05,2023,388791,197503,0.5079927261690729
18005,"Bartholomew County, Indiana",2012,78924,12.1-14,13.05,2023,82881,40949,0.4940698109337484
18007,"Benton County, Indiana",2012,8807,14.1-16,15.05,2023,8708,4244,0.4873679375287092
18009,"Blackford County, Indiana",2012,12541,20.1-22,21.05,2023,12007,6132,0.5107020904472391
