county_fips,year,county,rate_range,cdc_population,county_name_acs,total_pop_acs,female_pop_acs,female_share
18069,2013,"Huntington County, IN",12.1-14,36818,"Huntington County, Indiana",36757,18330,0.4986805234377125
18071,2013,"Jackson County, IN",14.1-16,43514,"Jackson County, Indiana",46319,22697,0.4900148966946609
18073,2013,"Jasper County, IN",10.1-12,33412,"Jasper County, Indiana",33198,16662,0.5018977046810049
18075,2013,"Jay County, IN",14.1-16,21274,"Jay County, Indiana",20281,10076,0.4968196834475618
18077,2013,"Jefferson County, IN",12.1-14,32501,"Jefferson County, Indiana",33074,17168,0.5190784301868537
18079,2013,"Jennings County, IN",16.1-18,28281,"Jennings County, Indiana",27584,13569,0.49191560324825984
18081,2013,"Johnson County, IN",12.1-14,145759,"Johnson County, Indiana",163983,82751,0.5046315776635383
18083,2013,"Knox County, IN",12.1-14,38023,"Knox County, Indiana",36108,17760,0.49185776005317383
18085,2013,"Kosciusko County, IN",8.1-10,77876,"Kosciusko County, Indiana",80357,40150,0.4996453327028137
18091,2013,"La Porte County, IN",10.1-12,111376,"LaPorte County, Indiana",112141,54005,0.48158122363809847
18087,2013,"Lagrange County, IN",4.1-6,38049,"LaGrange County, Indiana",40596,19959,0.49164942358853087
18089,2013,"Lake County, IN",6.1-8,491560,"Lake County, Indiana",498990,256128,0.5132928515601515
18093,2013,"Lawrence County, IN",14.1-16,45845,"Lawrence County, Indiana",45077,22823,0.5063114226767531
18095,2013,"Madison County, IN",24.1-26,130401,"Madison County, Indiana",130949,64907,0.4956662517468633
18097,2013,"Marion County, IN",16.1-18,928515,"Marion County, Indiana",971822,501089,0.5156180864396978
18099,2013,"Marshall County, IN",8.1-10,46986,"Marshall County, Indiana",46225,22835,0.4939967550027042
18101,2013,"Martin County, IN",10.1-12,10223,"Martin County, Indiana",9854,4782,0.48528516338542727
18103,2013,"Miami County, IN",10.1-12,36124,"Miami County, Indiana",35772,16377,0.4578161690707816
18105,2013,"Monroe County, IN",14.1-16,142097,"Monroe County, Indiana",139822,70119,0.5014876056700662
18107,2013,"Montgomery County, IN",16.1-18,38086,"Montgomery County, Indiana",38155,18725,0.4907613681037872
