HOSPITAL_ID,SUBSTANCE_CATEGORY,PATS,TC,TD,PAYOR1,AVG_CHARGE,AVG_LOS
43,Cannabis Disorders,1,15269,6,5,15269.0,6.0
43,Drug Overdose,15,490321,71,11,32688.066666666666,4.733333333333333
43,Opioid Overdose,3,111603,12,3,37201.0,4.0
43,Other Psychoactive Substances,1,31713,3,5,31713.0,3.0
43,Other Substance Related,4,142724,12,1,35681.0,3.0
43,Sedative Disorders,2,40625,6,3,20312.5,3.0
43,Stimulant Disorders,6,115532,34,2,19255.333333333332,5.666666666666667
45,Alcohol Disorders,56,2121718,214,1,37887.82142857143,3.8214285714285716
45,Cannabis Disorders,1,25349,1,5,25349.0,1.0
45,Cocaine Disorders,1,80099,15,2,80099.0,15.0
45,Drug Overdose,16,783070,74,1,48941.875,4.625
45,Opioid Overdose,5,258291,24,1,51658.2,4.8
45,Other Substance Related,22,881630,73,1,40074.09090909091,3.3181818181818183
48,Alcohol Disorders,45,1055766,140,1,23461.466666666667,3.111111111111111
