EVENT_YR,EVENT_COUNTY,EVENT_COUNTY_POP,PATIENT_AGE_GROUP,NONPHYS_MENTAL_HEALTH_FLG_CNT,SUICIDAL_AND_SELF_HARM_FLG_CNT,HOMICIDAL_AND_HARM_TO_OTHERS_FLG_FLG_CNT,ETL_RUN_TIMESTAMP
2020,MORGAN,71836,< 18,215,90,316,7/24/2025 9:17
2018,MORGAN,70108,< 18,210,75,386,7/24/2025 9:17
2018,PERRY,19100,18 to 60,864,117,291,7/24/2025 9:17
2017,WAYNE,66307,18 to 60,728,208,366,7/24/2025 9:17
2019,DECATUR,26472,60+,712,31,238,7/24/2025 9:17
2019,DECATUR,26472,< 18,53,22,54,7/24/2025 9:17
2020,FAYETTE,23359,18 to 60,408,131,157,7/24/2025 9:17
2020,DECATUR,26474,< 18,59,15,48,7/24/2025 9:17
2019,FLOYD,78601,18 to 60,3836,478,1481,7/24/2025 9:17
2021,FLOYD,80595,18 to 60,12038,1135,2947,7/24/2025 9:17
2023,WHITLEY,34742,< 18,271,81,144,7/24/2025 9:17
2017,CLARK,116648,18 to 60,1636,95,620,7/24/2025 9:17
2020,FLOYD,80519,18 to 60,9841,1101,2252,7/24/2025 9:17
2018,FLOYD,77870,18 to 60,4243,438,775,7/24/2025 9:17
2017,MIAMI,35903,60+,265,,75,7/24/2025 9:17
2021,KOSCIUSKO,80237,60+,1658,59,619,7/24/2025 9:17
2021,MADISON,130841,60+,6195,301,2496,7/24/2025 9:17
2022,PORTER,174848,18 to 60,9222,1171,2475,7/24/2025 9:17
2020,MADISON,130167,60+,4198,225,1220,7/24/2025 9:17
2020,WHITE,24673,18 to 60,428,70,275,7/24/2025 9:17
2020,MADISON,130167,< 18,451,194,394,7/24/2025 9:17
2024,MIAMI,35402,< 18,103,35,98,7/24/2025 9:17
2023,WHITLEY,34742,60+,1051,37,414,7/24/2025 9:17
2024,OWEN,21532,60+,43,,29,7/24/2025 9:17
2021,HANCOCK,81891,60+,1979,53,797,7/24/2025 9:17
2022,JEFFERSON,32936,60+,1414,34,495,7/24/2025 9:17
2021,KOSCIUSKO,80237,< 18,361,135,210,7/24/2025 9:17
2017,MIAMI,35903,< 18,20,,55,7/24/2025 9:17
2019,MIAMI,35488,60+,429,,125,7/24/2025 9:17
2022,JEFFERSON,32936,< 18,197,103,263,7/24/2025 9:17
2024,MIAMI,35402,60+,564,15,259,7/24/2025 9:17
2017,ORANGE,19413,60+,162,,30,7/24/2025 9:17
2021,MADISON,130841,< 18,699,340,922,7/24/2025 9:17
2021,HANCOCK,81891,< 18,279,84,324,7/24/2025 9:17
2022,OHIO,6097,60+,65,,43,7/24/2025 9:17
2023,BROWN,15653,60+,55,0,24,7/24/2025 9:17
2017,ORANGE,19413,< 18,,,25,7/24/2025 9:17
2018,BENTON,8677,60+,65,,27,7/24/2025 9:17
2017,NEWTON,14036,60+,22,,17,7/24/2025 9:17
2018,BENTON,8677,< 18,,,,7/24/2025 9:17
2019,MIAMI,35488,< 18,24,,13,7/24/2025 9:17
2017,NEWTON,14036,< 18,,,,7/24/2025 9:17
2024,OWEN,21532,< 18,,,,7/24/2025 9:17
2022,OHIO,6097,< 18,,,,7/24/2025 9:17
2018,NEWTON,13979,60+,,0,,7/24/2025 9:17
2023,BROWN,15653,< 18,,0,,7/24/2025 9:17
2018,NEWTON,13979,< 18,,,,7/24/2025 9:17
2021,LAKE,499257,< 18,9249,1324,6711,7/24/2025 9:17
2017,LAKE,484834,18 to 60,19081,4070,9350,7/24/2025 9:17
2017,ELKHART,204279,60+,4351,170,756,7/24/2025 9:17
2021,LAKE,499257,60+,32630,1134,11696,7/24/2025 9:17
2022,KOSCIUSKO,80564,18 to 60,2014,386,883,7/24/2025 9:17
2024,GIBSON,32904,18 to 60,1030,179,744,7/24/2025 9:17
2018,LAWRENCE,45690,60+,796,29,208,7/24/2025 9:17
2022,WHITLEY,34577,18 to 60,1184,186,526,7/24/2025 9:17
2017,ELKHART,204279,< 18,369,136,406,7/24/2025 9:17
2019,DAVIESS,33439,60+,774,22,254,7/24/2025 9:17
2022,JOHNSON,165686,60+,2470,81,942,7/24/2025 9:17
2018,VIGO,107438,< 18,282,93,231,7/24/2025 9:17
2020,KOSCIUSKO,80141,18 to 60,1983,462,845,7/24/2025 9:17
2019,TIPTON,15133,< 18,13,,35,7/24/2025 9:17
2023,DAVIESS,33656,60+,722,27,219,7/24/2025 9:17
2017,LAWRENCE,45595,< 18,23,,60,7/24/2025 9:17
2024,PUTNAM,37567,< 18,113,48,130,7/24/2025 9:17
2019,DAVIESS,33439,< 18,52,,55,7/24/2025 9:17
2022,TIPTON,15325,60+,264,12,81,7/24/2025 9:17
2023,WELLS,28555,18 to 60,463,74,234,7/24/2025 9:17
2018,VIGO,107438,60+,2946,161,909,7/24/2025 9:17
2021,GIBSON,32965,18 to 60,904,203,595,7/24/2025 9:17
2017,LAWRENCE,45595,60+,541,20,108,7/24/2025 9:17
2022,JOHNSON,165686,< 18,403,143,332,7/24/2025 9:17
2024,PUTNAM,37567,60+,599,31,317,7/24/2025 9:17
2018,LAWRENCE,45690,< 18,55,19,68,7/24/2025 9:17
2022,TIPTON,15325,< 18,26,,42,7/24/2025 9:17
2022,MARTIN,9827,18 to 60,84,14,53,7/24/2025 9:17
2019,TIPTON,15133,60+,260,,76,7/24/2025 9:17
2023,DAVIESS,33656,< 18,177,48,77,7/24/2025 9:17
2017,PARKE,16902,60+,104,0,58,7/24/2025 9:17
2018,WHITLEY,34036,18 to 60,221,53,170,7/24/2025 9:17
2019,WELLS,28131,18 to 60,156,47,99,7/24/2025 9:17
2022,BROWN,15587,18 to 60,81,12,38,7/24/2025 9:17
2024,NEWTON,13960,18 to 60,75,19,43,7/24/2025 9:17
2017,PARKE,16902,< 18,,0,,7/24/2025 9:17
2019,HAMILTON,337955,< 18,554,120,643,7/24/2025 9:17
2024,JACKSON,46460,18 to 60,3343,316,1729,7/24/2025 9:17
2024,CLARK,125467,18 to 60,8543,1122,2535,7/24/2025 9:17
2019,HAMILTON,337955,60+,4846,156,1620,7/24/2025 9:17
2023,GREENE,31196,60+,510,18,202,7/24/2025 9:17
2017,DEKALB,42830,18 to 60,949,318,228,7/24/2025 9:17
2024,LAGRANGE,40907,60+,586,13,218,7/24/2025 9:17
2017,JAY,20879,< 18,24,,35,7/24/2025 9:17
2017,JAY,20879,60+,210,11,35,7/24/2025 9:17
2018,TIPTON,15100,18 to 60,183,30,95,7/24/2025 9:17
2024,STEUBEN,34917,18 to 60,1348,279,580,7/24/2025 9:17
2021,DUBOIS,43565,18 to 60,1963,290,496,7/24/2025 9:17
2023,CASS,37666,60+,1127,27,462,7/24/2025 9:17
2019,VIGO,106958,18 to 60,4556,1577,1747,7/24/2025 9:17
2017,STARKE,22946,60+,459,10,58,7/24/2025 9:17
2022,LAWRENCE,45231,18 to 60,1085,186,596,7/24/2025 9:17
2023,CASS,37666,< 18,259,94,202,7/24/2025 9:17
2020,CASS,37786,< 18,73,15,59,7/24/2025 9:17
2024,TIPTON,15256,18 to 60,343,26,124,7/24/2025 9:17
2021,FULTON,20412,18 to 60,974,145,320,7/24/2025 9:17
2020,LAGRANGE,40542,60+,371,15,193,7/24/2025 9:17
2024,STARKE,23206,< 18,57,21,64,7/24/2025 9:17
2017,STARKE,22946,< 18,19,,42,7/24/2025 9:17
2020,CASS,37786,60+,594,25,218,7/24/2025 9:17
2024,LAGRANGE,40907,< 18,148,49,91,7/24/2025 9:17
2023,GREENE,31196,< 18,155,93,128,7/24/2025 9:17
2024,STARKE,23206,60+,377,,163,7/24/2025 9:17
2020,LAGRANGE,40542,< 18,97,31,78,7/24/2025 9:17
2021,CASS,37558,< 18,34,,20,7/24/2025 9:17
